"gID";"T";"x";"y";"itemsInCraneID"
0;-1.0;0;0;null
0;0.0;0;0;null
0;3.0;-15;5;null
0;13.0;-15;5;2561
0;120.0;520;35;2561
0;130.0;520;35;null
0;237.0;-15;5;null
0;247.0;-15;5;2562
0;356.0;530;35;2562
0;366.0;530;35;null
0;475.0;-15;5;null
0;485.0;-15;5;2563
0;570.0;410;35;2563
0;580.0;410;35;null
0;665.0;-15;5;null
0;675.0;-15;5;2564
0;750.0;360;35;2564
0;760.0;360;35;null
0;835.0;-15;5;null
0;845.0;-15;5;2565
0;900.0;260;35;2565
0;910.0;260;35;null
0;965.0;-15;5;null
0;975.0;-15;5;2566
0;1028.0;250;35;2566
0;1038.0;250;35;null
0;1091.0;-15;5;null
0;1101.0;-15;5;2567
0;1262.0;790;35;2567
0;1272.0;790;35;null
0;1433.0;-15;5;null
0;1443.0;-15;5;2568
0;1476.0;150;35;2568
0;1486.0;150;35;null
0;1519.0;-15;5;null
0;1529.0;-15;5;2569
0;1560.0;140;35;2569
0;1570.0;140;35;null
0;1601.0;-15;5;null
0;1611.0;-15;5;2570
0;1808.0;970;35;2570
0;1818.0;970;35;null
0;1818.0;970;35;null
0;1828.0;970;35;2570
0;1837.0;1015;5;2570
0;1847.0;1015;5;null
0;1905.0;725;65;null
0;1915.0;725;65;2008
0;1935.0;825;55;2008
0;1945.0;825;55;null
0;1964.0;730;65;null
0;1974.0;730;65;1606
0;2031.0;1015;5;1606
0;2041.0;1015;5;null
0;2073.0;855;45;null
0;2083.0;855;45;2273
0;2106.0;970;35;2273
0;2116.0;970;35;null
0;2138.0;860;45;null
0;2148.0;860;45;2099
0;2179.0;1015;5;2099
0;2189.0;1015;5;null
0;2240.0;760;85;null
0;2250.0;760;85;2101
0;2323.0;395;75;2101
0;2333.0;395;75;null
0;2405.0;755;85;null
0;2415.0;755;85;1903
0;2422.0;720;95;1903
0;2432.0;720;95;null
0;2438.0;750;85;null
0;2448.0;750;85;1779
0;2501.0;1015;5;1779
0;2511.0;1015;5;null
0;2717.0;-15;5;null
0;2727.0;-15;5;2571
0;2829.0;495;35;2571
