"gID";"T";"x";"y";"itemsInCraneID"
0;-1.0;0;0;null
0;0.0;0;0;null
0;0.0;0;0;null
0;0.0;0;0;null
0;91.0;0;0;null
0;224.0;665;95;null
0;234.0;665;95;212
0;292.0;375;85;212
0;302.0;375;85;null
0;406.0;375;85;null
0;484.0;-15;5;null
0;494.0;-15;5;2600
0;598.0;505;5;2600
0;608.0;505;5;null
0;634.0;375;5;null
0;712.0;-15;5;null
0;722.0;-15;5;2601
0;834.0;545;5;2601
0;844.0;545;5;null
0;956.0;-15;5;null
0;966.0;-15;5;2602
0;1094.0;625;5;2602
0;1104.0;625;5;null
0;1232.0;-15;5;null
0;1242.0;-15;5;2603
0;1294.0;245;5;2603
0;1304.0;245;5;null
0;1356.0;-15;5;null
0;1366.0;-15;5;2604
0;1384.0;75;5;2604
0;1394.0;75;5;null
0;1412.0;-15;5;null
0;1422.0;-15;5;2605
0;1526.0;505;5;2605
0;1536.0;505;5;null
0;1640.0;-15;5;null
0;1650.0;-15;5;2606
0;1702.0;245;5;2606
0;1712.0;245;5;null
0;1764.0;-15;5;null
0;1774.0;-15;5;2607
0;1810.0;165;5;2607
0;1820.0;165;5;null
0;1856.0;-15;5;null
0;1866.0;-15;5;2608
0;2052.0;915;5;2608
0;2062.0;915;5;null
0;2248.0;-15;5;null
0;2258.0;-15;5;2609
0;2290.0;145;5;2609
0;2300.0;145;5;null
0;2332.0;-15;5;null
0;2342.0;-15;5;2610
0;2360.0;75;5;2610
0;2370.0;75;5;null
0;2388.0;-15;5;null
0;2398.0;-15;5;2611
0;2506.0;525;5;2611
0;2516.0;525;5;null
0;2624.0;-15;5;null
0;2634.0;-15;5;2612
0;2746.0;545;5;2612
0;2756.0;545;5;null
0;2868.0;-15;5;null
0;2878.0;-15;5;2613
0;2892.0;55;5;2613
0;2902.0;55;5;null
0;2916.0;-15;5;null
0;2926.0;-15;5;2614
0;2932.0;15;5;2614
0;2942.0;15;5;null
0;2948.0;-15;5;null
0;2958.0;-15;5;2615
0;2962.0;5;5;2615
0;2972.0;5;5;null
0;2976.0;-15;5;null
0;2986.0;-15;5;2616
