"gID";"T";"x";"y";"itemsInCraneID"
1;33.0;665;95;null
1;43.0;665;95;552
1;81.0;855;85;552
1;91.0;855;85;null
1;129.0;665;95;null
1;139.0;665;95;212
1;185.0;895;85;212
1;195.0;895;85;null
1;241.0;665;95;null
1;251.0;665;95;154
1;309.0;375;85;154
1;319.0;375;85;null
1;377.0;665;95;null
1;387.0;665;95;67
1;457.0;1015;5;67
1;467.0;1015;5;null
1;591.0;395;85;null
1;601.0;395;85;2497
1;725.0;1015;5;2497
1;735.0;1015;5;null
0;3.0;-15;5;null
0;13.0;-15;5;2600
0;31.0;75;5;2600
0;41.0;75;5;null
0;59.0;-15;5;null
0;69.0;-15;5;2601
0;121.0;245;5;2601
0;131.0;245;5;null
0;183.0;-15;5;null
0;193.0;-15;5;2602
0;413.0;505;5;2602
0;423.0;505;5;null
0;527.0;-15;5;null
0;537.0;-15;5;2603
0;649.0;545;5;2603
0;659.0;545;5;null
0;771.0;-15;5;null
0;781.0;-15;5;2604
0;909.0;625;5;2604
0;919.0;625;5;null
0;1047.0;-15;5;null
0;1057.0;-15;5;2605
0;1243.0;915;5;2605
0;1253.0;915;5;null
0;1439.0;-15;5;null
0;1449.0;-15;5;2606
0;1453.0;5;5;2606
0;1463.0;5;5;null
0;1467.0;-15;5;null
0;1477.0;-15;5;2607
0;1483.0;15;5;2607
0;1493.0;15;5;null
0;1499.0;-15;5;null
0;1509.0;-15;5;2608
0;1523.0;55;5;2608
0;1533.0;55;5;null
0;1547.0;-15;5;null
0;1557.0;-15;5;2609
0;1575.0;75;5;2609
0;1585.0;75;5;null
0;1603.0;-15;5;null
0;1613.0;-15;5;2610
0;1645.0;145;5;2610
0;1655.0;145;5;null
0;1687.0;-15;5;null
0;1697.0;-15;5;2611
0;1733.0;165;5;2611
0;1743.0;165;5;null
0;1779.0;-15;5;null
0;1789.0;-15;5;2612
0;1841.0;245;5;2612
0;1851.0;245;5;null
0;1903.0;-15;5;null
0;1913.0;-15;5;2613
0;2017.0;505;5;2613
0;2027.0;505;5;null
0;2131.0;-15;5;null
0;2141.0;-15;5;2614
0;2249.0;525;5;2614
0;2259.0;525;5;null
0;2367.0;-15;5;null
0;2377.0;-15;5;2615
0;2489.0;545;5;2615
0;2499.0;545;5;null
0;2611.0;-15;5;null
0;2621.0;-15;5;2616
0;2743.0;595;5;2616
0;2753.0;595;5;null
0;2875.0;-15;5;null
0;2885.0;-15;5;2617
0;3013.0;625;5;2617
0;3023.0;625;5;null
0;3151.0;-15;5;null
0;3161.0;-15;5;2618
0;3291.0;635;5;2618
0;3301.0;635;5;null
0;3431.0;-15;5;null
0;3441.0;-15;5;2619
0;3573.0;645;5;2619
0;3583.0;645;5;null
0;3715.0;-15;5;null
0;3725.0;-15;5;2620
0;3863.0;675;5;2620
0;3873.0;675;5;null
0;4011.0;-15;5;null
0;4021.0;-15;5;2621
0;4167.0;715;5;2621
0;4177.0;715;5;null
0;4323.0;-15;5;null
0;4333.0;-15;5;2622
0;4493.0;785;5;2622
0;4503.0;785;5;null
0;4663.0;-15;5;null
0;4673.0;-15;5;2623
0;4843.0;835;5;2623
0;4853.0;835;5;null
0;5023.0;-15;5;null
0;5033.0;-15;5;2624
0;5207.0;855;5;2624
0;5217.0;855;5;null
0;5391.0;-15;5;null
0;5401.0;-15;5;2625
0;5587.0;915;5;2625
0;5597.0;915;5;null
0;5783.0;-15;5;null
0;5793.0;-15;5;2626
0;5987.0;955;5;2626
0;5997.0;955;5;null
0;6191.0;-15;5;null
0;6201.0;-15;5;2627
0;6397.0;965;5;2627
0;6407.0;965;5;null
1;745.0;965;5;null
1;755.0;965;5;2627
1;765.0;1015;5;2627
1;775.0;1015;5;null
0;6603.0;-15;5;null
0;6613.0;-15;5;2628
0;6809.0;965;5;2628
0;6819.0;965;5;null
0;7015.0;-15;5;null
0;7025.0;-15;5;2629
0;7227.0;995;5;2629
0;7237.0;995;5;null
0;7439.0;-15;5;null
0;7449.0;-15;5;2630
0;7453.0;5;5;2630
0;7463.0;5;5;null
0;7467.0;-15;5;null
0;7477.0;-15;5;2631
0;7483.0;15;5;2631
0;7493.0;15;5;null
0;7499.0;-15;5;null
0;7509.0;-15;5;2632
0;7521.0;45;5;2632
0;7531.0;45;5;null
0;7543.0;-15;5;null
0;7553.0;-15;5;2633
0;7567.0;55;5;2633
0;7577.0;55;5;null
0;7591.0;-15;5;null
0;7601.0;-15;5;2634
0;7619.0;75;5;2634
0;7629.0;75;5;null
0;7647.0;-15;5;null
0;7657.0;-15;5;2635
0;7689.0;145;5;2635
0;7699.0;145;5;null
0;7731.0;-15;5;null
0;7741.0;-15;5;2636
0;7775.0;155;5;2636
0;7785.0;155;5;null
0;7819.0;-15;5;null
0;7829.0;-15;5;2637
0;7865.0;165;5;2637
0;7875.0;165;5;null
0;7911.0;-15;5;null
0;7921.0;-15;5;2638
0;7959.0;175;5;2638
0;7969.0;175;5;null
0;8007.0;-15;5;null
0;8017.0;-15;5;2639
0;8069.0;245;5;2639
0;8079.0;245;5;null
0;8131.0;-15;5;null
0;8141.0;-15;5;2640
0;8195.0;255;5;2640
0;8205.0;255;5;null
0;8259.0;-15;5;null
0;8269.0;-15;5;2641
0;8339.0;335;5;2641
0;8349.0;335;5;null
0;8419.0;-15;5;null
0;8429.0;-15;5;2642
0;8505.0;365;5;2642
0;8515.0;365;5;null
0;8591.0;-15;5;null
0;8601.0;-15;5;2643
0;8681.0;385;5;2643
0;8691.0;385;5;null
0;8771.0;-15;5;null
0;8781.0;-15;5;2644
0;8871.0;435;5;2644
0;8881.0;435;5;null
0;8971.0;-15;5;null
0;8981.0;-15;5;2645
0;9075.0;455;5;2645
0;9085.0;455;5;null
0;9179.0;-15;5;null
0;9189.0;-15;5;2646
0;9285.0;465;5;2646
0;9295.0;465;5;null
1;1019.0;465;5;null
1;1029.0;465;5;2646
1;1139.0;1015;5;2646
1;1149.0;1015;5;null
1;1233.0;595;5;null
1;1243.0;595;5;2616
1;1405.0;1015;5;2616
1;1415.0;1015;5;null
1;1569.0;245;5;null
1;1579.0;245;5;2639
1;1601.0;355;15;2639
1;1611.0;355;15;null
1;1633.0;245;5;null
1;1643.0;245;5;2612
1;1671.0;105;15;2612
1;1681.0;105;15;null
1;1709.0;245;5;null
1;1719.0;245;5;2601
1;1873.0;1015;5;2601
1;1883.0;1015;5;null
1;4685.0;55;5;null
1;4695.0;55;5;2633
1;5573.0;1015;5;2633
1;5583.0;1015;5;null
1;5785.0;5;5;null
1;5795.0;5;5;2630
1;6393.0;1015;5;2630
1;6403.0;1015;5;null
1;6463.0;715;5;null
1;6473.0;715;5;2621
1;6533.0;1015;5;2621
1;6543.0;1015;5;null
1;7389.0;255;5;null
1;7399.0;255;5;2640
1;7551.0;1015;5;2640
1;7561.0;1015;5;null
1;7673.0;455;5;null
1;7683.0;455;5;2645
1;7795.0;1015;5;2645
1;7805.0;1015;5;null
1;7975.0;165;5;null
1;7985.0;165;5;2637
1;8155.0;1015;5;2637
1;8165.0;1015;5;null
1;9455.0;165;65;null
1;9465.0;165;65;2191
1;9467.0;175;75;2191
1;9477.0;175;75;null
1;9479.0;165;65;null
1;9489.0;165;65;954
1;9491.0;175;55;954
1;9501.0;175;55;null
1;9503.0;165;65;null
1;9513.0;165;65;508
1;9517.0;185;55;508
1;9527.0;185;55;null
1;9531.0;165;65;null
1;9541.0;165;65;266
1;9711.0;1015;5;266
1;9721.0;1015;5;null
1;9857.0;335;45;null
1;9867.0;335;45;1967
1;10003.0;1015;5;1967
1;10013.0;1015;5;null
1;10021.0;975;25;null
1;10031.0;975;25;2306
1;10039.0;1015;5;2306
1;10049.0;1015;5;null
1;10139.0;565;25;null
1;10149.0;565;25;2505
1;10239.0;1015;5;2505
1;10249.0;1015;5;null
1;10267.0;925;15;null
1;10277.0;925;15;1885
1;10413.0;245;5;1885
1;10423.0;245;5;null
1;10559.0;925;15;null
1;10569.0;925;15;1635
1;10601.0;765;25;1635
1;10611.0;765;25;null
1;10643.0;925;15;null
1;10653.0;925;15;1362
1;10671.0;1015;5;1362
1;10681.0;1015;5;null
1;10785.0;495;5;null
1;10795.0;495;5;2596
1;10899.0;1015;5;2596
1;10909.0;1015;5;null
1;10917.0;975;15;null
1;10927.0;975;15;1361
1;10979.0;715;5;1361
1;10989.0;715;5;null
1;11041.0;975;15;null
1;11051.0;975;15;752
1;11059.0;1015;5;752
1;11069.0;1015;5;null
1;11078.0;995;95;null
1;11088.0;995;95;1245
1;11097.0;1015;5;1245
1;11107.0;1015;5;null
1;11143.0;835;5;null
1;11153.0;835;5;2623
1;11189.0;1015;5;2623
1;11199.0;1015;5;null
1;11325.0;385;15;null
1;11335.0;385;15;2436
1;11357.0;495;5;2436
1;11367.0;495;5;null
1;11389.0;385;15;null
1;11399.0;385;15;1415
1;11427.0;245;5;1415
1;11437.0;245;5;null
1;11465.0;385;15;null
1;11475.0;385;15;1226
1;11601.0;1015;5;1226
1;11611.0;1015;5;null
0;9391.0;-15;5;null
0;9401.0;-15;5;2647
0;9649.0;595;5;2647
0;9659.0;595;5;null
1;11695.0;595;5;null
1;11705.0;595;5;2647
1;11789.0;1015;5;2647
1;11799.0;1015;5;null
1;11811.0;955;45;null
1;11821.0;955;45;1481
1;11833.0;1015;5;1481
1;11843.0;1015;5;null
1;11945.0;505;45;null
1;11955.0;505;45;1868
1;12007.0;765;55;1868
1;12017.0;765;55;null
1;12069.0;505;45;null
1;12079.0;505;45;568
1;12181.0;1015;5;568
1;12191.0;1015;5;null
1;12293.0;505;55;null
1;12303.0;505;55;1865
